Ticks,Tics,TicDelta,Latitude,Longitude,Satellites,Distance
821972,0,1000,41.15304,-73.42704,3,0.964023652
822992,1020,1020,41.15302,-73.42705,3,2.376280248
824006,2034,1014,41.15302,-73.42705,3,3.788536845
825027,3055,1021,41.15302,-73.42705,3,5.200793441
826041,4069,1014,41.15302,-73.42705,3,6.613050037
827050,5078,1009,41.15302,-73.42705,3,8.025306633
828059,6087,1009,41.15302,-73.42705,3,9.43756323
829069,7097,1010,41.15295,-73.42709,3,10.84981983
830082,8110,1013,41.15293,-73.42709,3,13.07371836
831103,9131,1021,41.15293,-73.42709,3,14.00034275
832117,10145,1014,41.15293,-73.42709,3,14.92696714
833134,11162,1017,41.15293,-73.42709,3,15.85359152
834150,12178,1016,41.15293,-73.42709,3,16.78021591
835164,13192,1014,41.15293,-73.42709,3,17.7068403
836179,14207,1015,41.15288,-73.42709,3,18.63346469
837201,15229,1022,41.15287,-73.4271,3,20.02537619
838225,16253,1024,41.15287,-73.4271,3,21.13732546
839244,17272,1019,41.15287,-73.4271,3,22.24927472
840262,18290,1018,41.15287,-73.4271,3,23.36122399
841277,19305,1015,41.15283,-73.4271,3,24.47317325
842315,20343,1038,41.15283,-73.4271,3,25.61961066
843335,21363,1020,41.15283,-73.4271,3,26.76604807
844351,22379,1016,41.15283,-73.4271,3,27.91248548
845372,23400,1021,41.15283,-73.4271,3,29.05892289
846386,24414,1014,41.15283,-73.4271,3,30.2053603
847401,25429,1015,41.15277,-73.42712,3,31.35179771
848427,26455,1026,41.15276,-73.42714,3,33.36186895
849452,27480,1025,41.15276,-73.42714,3,35.67271985
850472,28500,1020,41.15276,-73.42714,3,37.98357076
851487,29515,1015,41.15276,-73.42714,3,40.29442167
852503,30531,1016,41.15276,-73.42714,3,42.60527257
853510,31538,1007,41.15276,-73.42714,3,44.91612348
854524,32552,1014,41.15276,-73.42714,3,47.22697438
855539,33567,1015,41.15276,-73.42714,3,49.53782529
856555,34583,1016,41.1526,-73.4272,3,51.84867619
857570,35598,1015,41.1526,-73.4272,3,54.52260276
858589,36617,1019,41.1526,-73.4272,3,57.19652933
859609,37637,1020,41.1526,-73.4272,3,59.8704559
860625,38653,1016,41.1526,-73.4272,3,62.54438247
861641,39669,1016,41.15248,-73.42721,3,65.21830903
862660,40688,1019,41.15247,-73.42721,3,66.3302583
863678,41706,1018,41.15247,-73.42721,3,69.21277858
864688,42716,1010,41.15247,-73.42721,3,72.09529887
865699,43727,1011,41.15247,-73.42721,3,74.97781915
866707,44735,1008,41.15247,-73.42721,3,77.86033944
867720,45748,1013,41.15247,-73.42721,3,80.74285972
868748,46776,1028,41.15233,-73.4273,3,83.62538001
869758,47786,1010,41.15232,-73.42733,3,86.3722719
870771,48799,1013,41.15232,-73.42733,3,89.05843364
871783,49811,1012,41.15232,-73.42733,3,91.74459537
872793,50821,1010,41.15232,-73.42733,3,94.4307571
873804,51832,1011,41.15232,-73.42733,3,97.11691883
874815,52843,1011,41.15232,-73.42733,3,99.80308056
875826,53854,1011,41.15232,-73.42733,3,102.4892423
876845,54873,1019,41.15232,-73.42733,3,105.175404
877859,55887,1014,41.15232,-73.42733,3,107.8615658
878878,56906,1019,41.15215,-73.42751,3,110.5477275
879890,57918,1012,41.15213,-73.42752,3,112.9240117
880896,58924,1006,41.15211,-73.42753,3,115.3002961
881917,59945,1021,41.15211,-73.42753,3,117.6637647
882927,60955,1010,41.15211,-73.42753,3,120.0272333
883942,61970,1015,41.15211,-73.42753,3,122.390702
884944,62972,1002,41.15205,-73.42761,3,124.7541706
885960,63988,1016,41.15205,-73.42761,3,127.5653885
886970,64998,1010,41.152,-73.42762,3,130.3766064
887993,66021,1023,41.152,-73.42763,3,131.2138669
889009,67037,1016,41.152,-73.42763,3,132.3390577
890018,68046,1009,41.152,-73.42763,3,133.4642486
891028,69056,1010,41.152,-73.42763,3,134.5894394
892041,70069,1013,41.152,-73.42763,3,135.7146302
893052,71080,1011,41.152,-73.42763,3,136.8398211
894059,72087,1007,41.152,-73.42763,3,137.9650119
895070,73098,1011,41.15194,-73.42768,3,139.0902028
896099,74127,1029,41.15194,-73.42768,3,139.7691414
897112,75140,1013,41.15194,-73.42768,3,140.4480801
898132,76160,1020,41.15194,-73.42768,3,141.1270187
899145,77173,1013,41.15194,-73.42768,3,141.8059573
900158,78186,1013,41.15194,-73.42768,3,142.484896
901175,79203,1017,41.15194,-73.42768,3,143.1638346
902193,80221,1018,41.1519,-73.4277,3,143.8427733
903217,81245,1024,41.1519,-73.4277,3,144.5840728
904233,82261,1016,41.1519,-73.4277,3,145.3253723
905248,83276,1015,41.1519,-73.4277,3,146.0666718
906262,84290,1014,41.1519,-73.4277,3,146.8079713
907269,85297,1007,41.1519,-73.4277,3,147.5492708
908279,86307,1010,41.15186,-73.4277,3,148.2905703
909311,87339,1032,41.15186,-73.4277,3,149.4787131
910327,88355,1016,41.15184,-73.42771,3,150.6668559
911348,89376,1021,41.15184,-73.42771,3,151.5564153
912366,90394,1018,41.15184,-73.42771,3,152.4459747
913390,91418,1024,41.15184,-73.42771,3,153.3355341
914405,92433,1015,41.15184,-73.42771,3,154.2250935
915429,93457,1024,41.1518,-73.42771,3,155.1146529
916451,94479,1022,41.15179,-73.42773,3,157.1247448
917477,95505,1026,41.15179,-73.42773,3,158.7926687
918491,96519,1014,41.15176,-73.42773,3,160.4605926
919518,97546,1027,41.15176,-73.42773,3,162.1285165
920547,98575,1029,41.15173,-73.42773,3,163.7964404
921566,99594,1019,41.15173,-73.42773,3,165.5834223
922584,100612,1018,41.15173,-73.42773,3,167.3704042
923600,101628,1016,41.15173,-73.42773,3,169.1573861
924617,102645,1017,41.15173,-73.42773,3,170.944368
925639,103667,1022,41.15165,-73.42774,3,172.7313499
926658,104686,1019,41.15163,-73.42774,3,174.9552484
927676,105704,1018,41.15163,-73.42774,3,176.7422303
928687,106715,1011,41.15163,-73.42774,3,178.5292122
929702,107730,1015,41.15163,-73.42774,3,180.3161941
930724,108752,1022,41.15163,-73.42774,3,182.103176
931738,109766,1014,41.15155,-73.42775,3,183.890158
932754,110782,1016,41.15153,-73.42775,3,186.1140565
933778,111806,1024,41.15153,-73.42775,3,186.2967926
934791,112819,1013,41.15153,-73.42775,3,186.4795288
935799,113827,1008,41.15153,-73.42775,3,186.6622649
936808,114836,1009,41.15153,-73.42775,3,186.8450011
937819,115847,1011,41.15153,-73.42775,3,187.0277372
938835,116863,1016,41.15153,-73.42775,3,187.2104734
939847,117875,1012,41.15153,-73.42775,3,187.3932095
940857,118885,1010,41.15153,-73.42775,3,187.5759457
941866,119894,1009,41.15153,-73.42775,3,187.7586818
942876,120904,1010,41.15153,-73.42775,3,187.941418
943888,121916,1012,41.15152,-73.42773,4,188.1241541
944899,122927,1011,41.1515,-73.42771,4,190.9079981
945912,123940,1013,41.1515,-73.42771,4,193.9661927
946929,124957,1017,41.1515,-73.42771,4,197.0243873
947948,125976,1019,41.1515,-73.42771,4,200.0825819
948957,126985,1009,41.1515,-73.42771,4,203.1407764
949964,127992,1007,41.1515,-73.42771,4,206.198971
950972,129000,1008,41.1515,-73.42771,4,209.2571656
951982,130010,1010,41.15133,-73.42759,4,212.3153602
952997,131025,1015,41.15131,-73.42759,4,214.5392588
954014,132042,1017,41.15129,-73.42758,4,216.9155468
955026,133054,1012,41.15129,-73.42758,4,218.8818339
956039,134067,1013,41.15129,-73.42758,4,220.848121
957050,135078,1011,41.15129,-73.42758,4,222.8144081
958059,136087,1009,41.15129,-73.42758,4,224.7806952
959067,137095,1008,41.15121,-73.42753,4,226.7469823
960094,138122,1027,41.15119,-73.42752,4,229.1232708
961113,139141,1019,41.15119,-73.42752,4,229.8775903
962129,140157,1016,41.15119,-73.42752,4,230.6319097
963149,141177,1020,41.15119,-73.42752,4,231.3862292
964161,142189,1012,41.15119,-73.42752,4,232.1405486
965171,143199,1010,41.15119,-73.42752,4,232.894868
966190,144218,1019,41.15115,-73.42751,4,233.6491875
967210,145238,1020,41.15114,-73.42751,4,234.7611368
968235,146263,1025,41.15114,-73.42751,4,235.873086
969251,147279,1016,41.15112,-73.42751,4,236.9850353
970266,148294,1015,41.15112,-73.42751,4,237.7263348
971282,149310,1016,41.15112,-73.42751,4,238.4676343
972298,150326,1016,41.1511,-73.42751,4,239.2089338
973317,151345,1019,41.1511,-73.42751,4,239.7442234
974330,152358,1013,41.1511,-73.42751,4,240.2795131
975345,153373,1015,41.1511,-73.42751,4,240.8148027
976365,154393,1020,41.1511,-73.42751,4,241.3500923
977379,155407,1014,41.1511,-73.42751,4,241.885382
978387,156415,1008,41.1511,-73.42751,4,242.4206716
979396,157424,1009,41.1511,-73.42751,4,242.9559612
980411,158439,1015,41.1511,-73.42751,4,243.4912509
981428,159456,1017,41.1511,-73.42751,4,244.0265405
982446,160474,1018,41.15107,-73.42746,4,244.5618301
983468,161496,1022,41.15107,-73.42746,4,245.3991025
984486,162514,1018,41.15107,-73.42744,4,246.2363749
985511,163539,1025,41.15107,-73.42744,4,248.1374064
986529,164557,1018,41.15107,-73.42744,4,250.038438
987544,165572,1015,41.15107,-73.42744,4,251.9394695
988558,166586,1014,41.15107,-73.42744,4,253.8405011
989570,167598,1012,41.15107,-73.42744,4,255.7415326
990579,168607,1009,41.15107,-73.42744,4,257.6425641
991595,169623,1016,41.15107,-73.42744,4,259.5435957
992617,170645,1022,41.15107,-73.42744,4,261.4446272
993627,171655,1010,41.15107,-73.42744,4,263.3456588
994637,172665,1010,41.15091,-73.42736,4,265.2466903
995669,173697,1032,41.15091,-73.42736,4,267.1477219
996686,174714,1017,41.15091,-73.42736,4,269.0487534
997701,175729,1015,41.15091,-73.42736,4,270.9497849
998708,176736,1007,41.15091,-73.42736,4,272.8508165
999723,177751,1015,41.15091,-73.42736,4,274.751848
